,open_date,subject,neighborhood,Days_Open
19,2022-12-25 17:29:00,Dept of Law,UNKNOWN,70
166,2022-12-12 13:35:00,DPIS,Genesee-Moselle,83
179,2022-12-25 17:23:00,Dept of Law,UNKNOWN,70
194,2022-12-25 17:25:00,Dept of Law,UNKNOWN,70
249,2022-12-30 08:09:00,Dept of Public Works,West Side,65
286,2022-12-30 12:12:00,Dept of Public Works,North Park,65
430,2022-12-27 12:20:00,Dept of Public Works,South Park,68
437,2022-12-30 10:32:00,Dept of Public Works,Lovejoy,65
460,2022-12-30 11:16:00,Dept of Public Works,West Side,65
461,2022-10-27 08:53:00,Dept of Public Works,Genesee-Moselle,129
501,2022-12-30 16:13:00,Dept of Public Works,Kensington-Bailey,65
553,2022-12-26 16:42:00,Office of the Mayor,Ellicott,69
573,2022-12-26 11:17:00,Dept of Public Works,Central Park,69
623,2022-09-14 09:20:00,Dept of Public Works,UNKNOWN,172
636,2022-12-31 13:23:00,Dept of Law,UNKNOWN,64
730,2022-12-30 12:15:00,Buffalo Police Department,Broadway Fillmore,65
866,2022-12-27 15:29:00,Dept of Law,UNKNOWN,68
932,2022-12-27 10:18:00,Dept of Law,UNKNOWN,68
973,2022-12-27 15:25:00,Office of the Mayor,Lovejoy,68
999,2022-12-27 14:23:00,Dept of Public Works,Broadway Fillmore,68
1079,2022-06-23 14:00:00,Dept of Public Works,First Ward,255
1141,2022-11-17 16:17:00,Dept of Public Works,MLK Park,108
1178,2022-12-27 09:43:00,Office of the Mayor,North Park,68
1267,2022-11-02 12:35:00,Dept of Public Works,Elmwood Bidwell,123
1866,2022-12-22 09:16:00,DPIS,Delavan Grider,73
2619,2022-12-28 08:47:00,Office of the Mayor,Hamlin Park,67
3074,2022-12-28 09:35:00,Dept of Law,UNKNOWN,67
3885,2022-12-28 08:57:00,Office of the Mayor,Delavan Grider,67
3901,2022-12-12 12:23:00,Dept of Public Works,Elmwood Bryant,83
3919,2022-12-28 16:10:00,Dept of Public Works,Ellicott,67
4556,2022-06-23 07:57:00,Dept of Law,UNKNOWN,255
4661,2022-12-27 15:41:00,Utilities,Hopkins-Tifft,68
4671,2022-12-28 12:04:00,Dept of Public Works,Lovejoy,67
4686,2022-12-29 16:03:00,Dept of Public Works,Hopkins-Tifft,66
4706,2022-12-21 13:49:00,Dept of Public Works,Broadway Fillmore,74
4856,2022-12-29 18:29:00,Dept of Public Works,Lower West Side,66
4879,2022-12-29 18:37:00,Dept of Public Works,Kaisertown,66
4884,2022-12-29 09:04:00,Dept of Public Works,Broadway Fillmore,66
4890,2022-12-29 12:41:00,Dept of Public Works,Kensington-Bailey,66
4901,2022-12-29 15:05:00,Dept of Public Works,South Park,66
4957,2022-12-29 09:05:00,Dept of Public Works,South Park,66
5027,2022-12-30 11:29:00,Dept of Public Works,Kaisertown,65
5040,2022-12-30 13:05:00,Dept of Public Works,Central Park,65
5041,2022-12-30 14:59:00,Dept of Public Works,Hopkins-Tifft,65
5045,2022-12-30 11:50:00,Dept of Public Works,Delavan Grider,65
5069,2022-12-30 08:47:00,Dept of Public Works,Elmwood Bidwell,65
5100,2022-12-30 09:07:00,Dept of Public Works,Black Rock,65
5117,2022-12-30 15:27:00,Dept of Public Works,Elmwood Bryant,65
5138,2022-12-30 16:02:00,Dept of Public Works,Masten Park,65
5152,2022-12-30 14:00:00,Dept of Public Works,Kaisertown,65
5153,2022-12-30 12:12:00,Utilities,Lovejoy,65
5188,2022-12-30 16:00:00,Dept of Public Works,North Park,65
5213,2022-12-30 14:58:00,Dept of Public Works,Central,65
5226,2022-12-30 15:18:00,Dept of Public Works,First Ward,65
5227,2022-12-30 11:20:00,DPIS,Schiller Park,65
5241,2022-12-30 11:48:00,Dept of Public Works,Central Park,65
5262,2022-12-30 14:08:00,Dept of Public Works,South Park,65
5281,2022-12-30 16:30:00,Dept of Public Works,Parkside,65
5295,2022-12-30 08:10:00,Dept of Public Works,West Side,65
5296,2022-12-30 11:47:00,Dept of Public Works,South Park,65
5325,2022-12-30 14:06:00,Dept of Public Works,South Park,65
5356,2022-12-30 12:55:00,Dept of Public Works,Central,65
5367,2022-12-30 09:04:00,Dept of Public Works,Central,65
5380,2022-12-29 10:49:00,Dept of Public Works,Lovejoy,66
5396,2022-12-30 15:35:00,Dept of Public Works,Genesee-Moselle,65
5402,2022-12-30 14:00:00,Utilities,University Heights,65
5406,2022-12-30 10:34:00,Dept of Public Works,Kensington-Bailey,65
5462,2022-12-31 09:32:00,Dept of Public Works,Elmwood Bidwell,64
5492,2022-10-24 07:00:00,Dept of Public Works,Genesee-Moselle,132
5610,2022-12-31 13:24:00,Dept of Public Works,Kaisertown,64
5984,2022-12-05 16:22:00,DPIS,Broadway Fillmore,90
6020,2022-09-19 07:51:00,Dept of Law,UNKNOWN,167
6055,2022-03-22 12:31:00,Dept of Parking,North Park,348
6067,2022-06-15 10:15:00,Buffalo Police Department,Broadway Fillmore,263
6088,2022-06-15 11:02:00,Dept of Public Works,Hopkins-Tifft,263
6131,2022-09-20 14:20:00,Dept of Law,UNKNOWN,166
6158,2022-07-03 13:52:00,Dept of Law,UNKNOWN,245
6159,2022-08-05 09:01:00,Dept of Public Works,Grant-Amherst,212
6167,2022-08-04 09:53:00,Dept of Public Works,Lower West Side,213
6199,2022-05-19 08:36:00,Dept of Public Works,Central Park,290
6227,2022-08-02 13:46:00,Dept of Public Works,Broadway Fillmore,215
6232,2022-03-22 10:15:00,Dept of Law,UNKNOWN,348
6234,2022-06-30 09:40:00,Dept of Public Works,Masten Park,248
6301,2022-06-06 10:15:00,Dept of Public Works,Broadway Fillmore,272
6348,2022-05-13 07:01:00,Dept of Law,UNKNOWN,296
6387,2022-06-30 14:55:00,Dept of Public Works,Parkside,248
6432,2022-10-18 14:28:00,Dept of Law,UNKNOWN,138
6540,2022-06-06 15:35:00,Dept of Public Works,Broadway Fillmore,272
6630,2022-03-11 13:28:00,Dept of Law,UNKNOWN,359
6687,2022-05-02 14:15:00,DPIS,Schiller Park,307
6695,2022-05-30 18:23:00,Dept of Public Works,Hopkins-Tifft,279
6746,2022-04-20 11:27:00,Dept of Public Works,Elmwood Bryant,319
6797,2022-03-22 21:00:00,Dept of Law,UNKNOWN,348
6827,2022-06-30 07:00:00,Buffalo Police Department,Central Park,248
6838,2022-06-30 16:21:00,Dept of Law,UNKNOWN,248
6885,2022-03-21 11:01:00,Dept of Public Works,Kensington-Bailey,349
6887,2022-06-15 21:56:00,Dept of Law,UNKNOWN,263
6906,2022-07-07 14:44:00,Dept of Public Works,West Hertel,241
6929,2022-05-13 08:14:00,Dept of Law,UNKNOWN,296
7026,2022-08-18 12:13:00,Dept of Public Works,Elmwood Bryant,199
7053,2022-08-11 14:56:00,Office of Strategic Planning,Ellicott,206
7069,2022-07-26 13:44:00,Dept of Public Works,Kaisertown,222
7132,2022-09-08 10:34:00,Dept of Public Works,Riverside,178
7182,2022-06-29 12:59:00,Dept of Law,UNKNOWN,249
7184,2022-07-19 21:36:00,Dept of Law,UNKNOWN,229
7227,2022-11-07 09:54:00,Dept of Public Works,University Heights,118
7231,2022-03-31 12:47:00,Dept of Law,UNKNOWN,339
7274,2022-03-21 10:36:00,Dept of Public Works,Kaisertown,349
7281,2022-11-18 11:29:00,Dept of Public Works,Elmwood Bidwell,107
7353,2022-09-21 20:35:00,Utilities,Hopkins-Tifft,165
7367,2022-12-22 12:23:00,DPIS,Genesee-Moselle,73
7387,2022-03-10 11:39:00,Dept of Law,UNKNOWN,360
7441,2022-08-14 17:02:00,Dept of Public Works,Riverside,203
7442,2022-07-14 22:00:00,Dept of Law,UNKNOWN,234
7644,2022-05-27 09:21:00,Dept of Public Works,Riverside,282
7665,2022-03-18 09:41:00,Office of the Mayor,Hopkins-Tifft,352
7677,2022-10-11 08:52:00,Dept of Public Works,Lovejoy,145
7792,2022-03-21 13:09:00,Dept of Public Works,Fillmore-Leroy,349
7816,2022-10-18 07:30:00,Buffalo Police Department,West Hertel,138
7829,2022-07-13 15:51:00,Dept of Public Works,Schiller Park,235
7832,2022-06-09 09:28:00,Dept of Public Works,Riverside,269
7874,2022-05-11 12:14:00,Dept of Parking,Hopkins-Tifft,298
7975,2022-05-17 14:19:00,Dept of Law,UNKNOWN,292
7990,2022-06-21 09:12:00,Dept of Public Works,Elmwood Bryant,257
8003,2022-04-05 15:55:00,Dept of Law,UNKNOWN,334
8009,2022-06-30 14:47:00,Dept of Public Works,University Heights,248
8095,2022-03-22 12:45:00,Dept of Public Works,UNKNOWN,348
8209,2022-07-08 10:01:00,Dept of Public Works,Kensington-Bailey,240
8239,2022-08-01 15:34:00,Dept of Public Works,Hopkins-Tifft,216
8261,2022-07-01 15:26:00,Dept of Public Works,Elmwood Bryant,247
8267,2022-05-15 21:29:00,Dept of Public Works,Elmwood Bryant,294
8336,2022-08-08 10:26:00,Office of Strategic Planning,Genesee-Moselle,209
8351,2022-08-16 10:31:00,Dept of Public Works,West Side,201
8378,2022-07-05 09:11:00,Dept of Public Works,Upper West Side,243
8396,2022-08-25 13:26:00,Dept of Public Works,North Park,192
8399,2022-08-03 12:26:00,Dept of Public Works,Broadway Fillmore,214
8404,2022-07-19 09:27:00,Dept of Parking,Upper West Side,229
8442,2022-04-04 14:21:00,Dept of Public Works,South Park,335
8444,2022-06-10 09:16:00,Dept of Public Works,West Hertel,268
8520,2022-03-21 14:50:00,Dept of Public Works,Parkside,349
8530,2022-06-28 16:12:00,Dept of Public Works,Seneca Babcock,250
8554,2022-06-27 12:11:00,Dept of Law,UNKNOWN,251
8596,2022-06-01 13:05:00,Dept of Law,UNKNOWN,277
8660,2022-10-27 10:47:00,DPIS,Schiller Park,129
8672,2022-06-26 07:48:00,Dept of Law,UNKNOWN,252
8718,2022-06-28 11:19:00,Dept of Public Works,University Heights,250
8797,2022-08-05 13:48:00,Dept of Public Works,South Park,212
8866,2022-05-16 08:04:00,Dept of Law,UNKNOWN,293
8892,2022-09-19 15:36:00,Dept of Public Works,Black Rock,167
9018,2022-07-21 13:45:00,Dept of Public Works,Parkside,227
9053,2022-03-18 17:54:00,Dept of Public Works,North Park,352
9096,2022-05-27 16:28:00,Dept of Public Works,Parkside,282
9164,2022-10-13 12:55:00,Dept of Public Works,University Heights,143
9223,2022-10-12 15:21:00,Dept of Public Works,Ellicott,144
9236,2022-08-08 10:18:00,Dept of Public Works,Fillmore-Leroy,209
9256,2022-06-10 16:10:00,Dept of Public Works,South Park,268
9553,2022-08-25 09:49:00,Dept of Public Works,Masten Park,192
9623,2022-07-06 12:01:00,Dept of Public Works,Allentown,242
9680,2022-06-06 09:48:00,Dept of Public Works,Central Park,272
9729,2022-08-05 20:19:00,Dept of Public Works,Hopkins-Tifft,212
9744,2022-10-03 09:00:00,Dept of Law,UNKNOWN,153
9809,2022-03-23 10:30:00,Dept of Public Works,MLK Park,347
9813,2022-04-14 16:42:00,Dept of Law,UNKNOWN,325
9889,2022-10-13 09:01:00,Dept of Public Works,Seneca-Cazenovia,143
9950,2022-06-09 11:57:00,Dept of Law,UNKNOWN,269
9997,2022-03-22 16:04:00,Dept of Public Works,Masten Park,348
10020,2022-08-07 21:04:00,Dept of Public Works,Hopkins-Tifft,210
10023,2022-06-21 15:46:00,Dept of Public Works,West Side,257
10055,2022-03-31 12:14:00,Dept of Law,UNKNOWN,339
10102,2022-09-09 11:05:00,Dept of Public Works,UNKNOWN,177
10125,2022-09-20 09:44:00,Dept of Parking,Riverside,166
10160,2022-07-06 11:20:00,Dept of Public Works,Central Park,242
10162,2022-10-28 14:10:00,Dept of Public Works,Seneca Babcock,128
10181,2022-04-14 09:31:00,Dept of Public Works,Upper West Side,325
10218,2022-11-09 09:42:00,Dept of Public Works,Allentown,116
10266,2022-06-14 16:06:00,Dept of Public Works,Grant-Amherst,264
10434,2022-04-18 10:28:00,Dept of Law,UNKNOWN,321
10467,2022-07-08 12:16:00,Dept of Public Works,Broadway Fillmore,240
10489,2022-06-14 16:41:00,Utilities,Hopkins-Tifft,264
10497,2022-06-13 10:44:00,Dept of Public Works,Elmwood Bidwell,265
10512,2022-04-30 00:38:00,Dept of Public Works,Central Park,309
10579,2022-05-05 16:06:00,Dept of Public Works,Genesee-Moselle,304
10584,2022-07-21 10:17:00,Dept of Public Works,Central,227
10708,2022-06-28 23:22:00,Dept of Public Works,University Heights,249
10709,2022-06-15 01:26:00,Dept of Law,UNKNOWN,263
10721,2022-06-07 08:09:00,Dept of Public Works,Central,271
